country_code,year,oecd_eps,annual_transport_trends,electoral_democracy_index,total_population,transport_trend_per_person,gdp_per_capita,urbanization_rate,environmental_awareness,corruption_perception_index,industry_composition,IV
BEL,1995,0.77083331346512,91158000000,0.881,10137265.0,8.99236628419993,28.4138264387368,96.777,,5.25,26.04581425,421.0
BEL,1996,0.77083331346512,92416000000,0.882,10156970.0,9.098776505197907,27.4895551770488,96.851,,5.25,25.81088642,427.0
BEL,1997,0.77083331346512,94033000000,0.882,10181464.0,9.235705199173713,24.8209380503896,96.924,,5.25,26.1098654,433.0
BEL,1998,0.77083331346512,99280000000,0.882,10203182.0,9.730297861980704,25.3384432934904,96.996,,5.4,25.57068537,440.0
BEL,1999,0.77083331346512,102830000000,0.883,10226682.0,10.055069669713012,25.2528019066564,97.065,,5.3,24.72584434,448.0
BEL,2000,0.85416668653488,106130000000,0.885,10251717.0,10.352412186173302,23.098886507740097,97.129,,6.1,24.94383258,456.0
BEL,2001,1.1041666269302,108000000000,0.885,10287004.0,10.49868358173089,23.0150712632462,97.186,,6.6,24.31215099,460.0
BEL,2002,1.2124999761581,109420000000,0.885,10332973.0,10.589401520743353,25.006191397109,97.241,2.07518796992481,7.1,23.78733634,462.0
BEL,2003,1.1708333492279,108380000000,0.886,10376260.0,10.444996559453985,30.6552092679024,97.296,2.0733887989421103,7.6,23.22665489,464.0
BEL,2004,1.9833333492279,109690000000,0.864,10421292.0,10.525566311739466,35.4294077933344,97.35,2.07158962795941,7.5,22.95999895,467.0
BEL,2005,2.4458332061768,109420000000,0.881,10478886.0,10.44194964999142,36.8097013403619,97.403,2.04636799149779,7.4,22.57377815,468.0
BEL,2006,2.4041666984558,109920000000,0.886,10548442.0,10.42049622114811,38.705106795914695,97.454,2.02114635503617,7.3,22.13992554,470.0
BEL,2007,2.2041666507721,112080000000,0.892,10625492.0,10.54821743783723,44.319165448813,97.505,2.03469981313704,7.1,22.28195248,473.0
BEL,2008,2.3375000953674,113010000000,0.898,10709708.0,10.552108423497634,48.303397956286,97.555,2.04825327123791,7.3,21.5954485,477.0
BEL,2009,2.5750000476837,113430000000,0.898,10812936.0,10.490212833961099,44.7602912443709,97.603,2.09849465443142,7.1,20.60002979,479.0
BEL,2010,2.5999999046326,109388000000,0.898,10936626.0,10.001987815986393,44.184946353964,97.651,2.14873603762493,7.1,20.89458036,480.0
